reference,accountId,amount,currency,date
TXN-2026-00111,ACC-5519,1558.70,EUR,2026-04-22T16:01:53
TXN-2026-00112,ACC-3261,3598.86,ARS,2026-06-29T02:15:12
TXN-2026-00113,ACC-8600,6073.54,ARS,2026-04-07T07:20:28
TXN-2026-00114,ACC-1784,9853.72,ARS,2026-05-22T13:10:43
TXN-2026-00115,ACC-6601,6798.17,USD,2026-04-12T09:42:45
TXN-2026-00116,ACC-9389,1810.61,USD,2026-04-09T21:16:40
TXN-2026-00117,ACC-9127,8277.65,EUR,2026-02-25T13:29:43
TXN-2026-00118,ACC-9480,4381.36,EUR,2026-04-30T11:29:34
TXN-2026-00119,ACC-4874,2935.12,ARS,2026-05-25T08:16:20
TXN-2026-00120,ACC-9005,4031.24,ARS,2026-01-23T14:39:40
TXN-2026-00121,ACC-8547,9103.73,ARS,2026-02-21T16:49:49
TXN-2026-00122,ACC-4628,5823.93,USD,2026-02-21T18:11:44
TXN-2026-00123,ACC-5557,1196.20,ARS,2026-01-30T13:24:05
TXN-2026-00124,ACC-6298,5291.43,ARS,2026-06-28T11:26:13
TXN-2026-00125,ACC-1693,5748.46,ARS,2026-06-12T03:57:50
TXN-2026-00126,ACC-4746,3593.25,USD,2026-03-31T01:04:03
TXN-2026-00127,ACC-6184,3049.35,USD,2026-01-01T19:16:42
TXN-2026-00128,ACC-5119,5606.05,USD,2026-01-31T03:06:41
TXN-2026-00129,ACC-6321,7271.87,EUR,2026-01-08T00:20:17
TXN-2026-00130,ACC-9789,6536.57,ARS,2026-01-20T12:49:08
TXN-2026-00131,ACC-8445,901.81,ARS,2026-01-27T20:56:19
TXN-2026-00132,ACC-3662,1961.26,USD,2026-05-04T09:07:16
TXN-2026-00133,ACC-3104,8830.59,USD,2026-02-04T04:17:33
TXN-2026-00134,ACC-5548,1483.73,USD,2026-01-25T04:19:21
TXN-2026-00135,ACC-8460,917.59,ARS,2026-01-15T23:45:38
TXN-2026-00136,ACC-2002,5137.58,ARS,2026-06-16T09:10:59
TXN-2026-00137,ACC-5963,7408.83,EUR,2026-05-22T14:59:12
TXN-2026-00138,ACC-2741,9672.08,ARS,2026-04-23T19:27:53
TXN-2026-00139,ACC-5959,1541.38,USD,2026-02-08T14:18:25
TXN-2026-00140,ACC-9757,8684.45,EUR,2026-04-16T08:44:46
TXN-2026-00141,ACC-6139,5741.95,EUR,2026-05-12T09:26:28
TXN-2026-00142,ACC-7853,8864.39,ARS,2026-04-24T05:19:52
TXN-2026-00143,ACC-2840,7791.04,USD,2026-06-09T16:01:08
TXN-2026-00144,ACC-8507,6463.68,ARS,2026-01-04T19:22:07
TXN-2026-00145,ACC-1114,4410.27,ARS,2026-05-15T22:07:49
TXN-2026-00146,ACC-5657,2723.42,USD,2026-05-19T07:06:49
TXN-2026-00147,ACC-5858,4855.65,USD,2026-02-11T12:20:02
TXN-2026-00148,ACC-5806,7729.70,USD,2026-01-23T06:02:17
TXN-2026-00149,ACC-5794,4348.55,ARS,2026-02-09T16:11:38
TXN-2026-00150,ACC-7922,9532.28,ARS,2026-04-25T03:07:54
TXN-2026-00151,ACC-8663,9118.03,USD,2026-03-12T17:22:01
TXN-2026-00152,ACC-4002,6383.45,EUR,2026-05-06T20:14:27
TXN-2026-00153,ACC-4097,2577.40,ARS,2026-02-01T16:24:54
TXN-2026-00155,ACC-6822,523.94,EUR,2026-01-09T19:53:03
TXN-2026-00156,ACC-4132,1702.36,ARS,2026-04-15T01:15:42
TXN-2026-00157,ACC-8649,2166.50,USD,2026-03-06T21:47:20
TXN-2026-00159,ACC-1305,3256.70,ARS,2026-06-25T15:37:09
TXN-2026-00160,ACC-5951,9931.81,USD,2026-04-25T17:42:36
TXN-2026-00161,ACC-2622,3890.82,ARS,2026-06-04T11:56:06
TXN-2026-00162,ACC-2698,6553.15,USD,2026-02-15T04:53:56
TXN-2026-00163,ACC-7488,5358.40,ARS,2026-06-12T18:15:56
TXN-2026-00164,ACC-7340,3716.04,EUR,2026-03-02T11:39:11
TXN-2026-00165,ACC-1004,1063.58,EUR,2026-01-27T01:52:01
TXN-2026-00166,ACC-9713,1335.25,USD,2026-01-01T13:32:13
TXN-2026-00167,ACC-1282,4661.79,ARS,2026-06-09T16:37:58
TXN-2026-00168,ACC-6596,211.63,EUR,2026-01-07T00:02:38
TXN-2026-00169,ACC-3853,5214.47,USD,2026-04-14T20:43:29
TXN-2026-00170,ACC-5488,3340.31,EUR,2026-02-17T20:31:38
TXN-2026-00171,ACC-9802,9147.55,ARS,2026-01-22T00:06:11
TXN-2026-00172,ACC-7141,7922.77,USD,2026-03-13T00:48:59
TXN-2026-00173,ACC-6675,4035.20,USD,2026-04-14T12:21:03
TXN-2026-00174,ACC-6331,9942.09,USD,2026-03-21T12:37:55
TXN-2026-00175,ACC-4596,5850.90,USD,2026-01-13T00:46:47
TXN-2026-00176,ACC-3669,9531.56,ARS,2026-03-12T14:08:34
TXN-2026-00177,ACC-7126,4268.72,EUR,2026-05-25T01:45:27
TXN-2026-00178,ACC-5805,5881.91,EUR,2026-05-20T20:59:45
TXN-2026-00179,ACC-3734,2334.03,EUR,2026-06-14T12:34:58
TXN-2026-00180,ACC-7687,4034.32,EUR,2026-05-01T15:48:31
TXN-2026-00181,ACC-4625,8681.39,EUR,2026-06-25T20:31:09
TXN-2026-00182,ACC-7777,8270.06,ARS,2026-01-01T20:55:45
TXN-2026-00183,ACC-6210,8585.74,ARS,2026-04-29T05:10:45
TXN-2026-00184,ACC-6377,2925.76,EUR,2026-06-29T22:57:27
TXN-2026-00185,ACC-2635,7644.48,ARS,2026-05-29T18:56:53
TXN-2026-00186,ACC-4812,6218.50,EUR,2026-01-18T18:00:27
TXN-2026-00187,ACC-9921,1966.23,USD,2026-06-24T16:29:57
TXN-2026-00188,ACC-6748,3124.57,EUR,2026-06-24T03:47:07
TXN-2026-00189,ACC-3430,3734.02,EUR,2026-04-20T12:52:27
TXN-2026-00190,ACC-1111,8274.14,ARS,2026-06-23T16:12:36
TXN-2026-00191,ACC-6423,1030.38,ARS,2026-03-23T08:38:29
TXN-2026-00192,ACC-2267,1645.41,USD,2026-03-15T15:35:11
TXN-2026-00193,ACC-4023,2187.19,EUR,2026-05-12T20:58:28
TXN-2026-00194,ACC-8626,9077.55,ARS,2026-06-14T18:35:56
TXN-2026-00195,ACC-7534,7635.28,EUR,2026-02-23T20:42:37
TXN-2026-00196,ACC-3503,2099.19,ARS,2026-06-25T23:13:54
TXN-2026-00197,ACC-8346,7978.80,USD,2026-04-04T18:30:15
TXN-2026-00198,ACC-6628,3315.33,EUR,2026-02-24T22:23:20
TXN-2026-00199,ACC-3952,7551.73,EUR,2026-05-13T02:30:50
TXN-2026-00200,ACC-6647,5838.33,ARS,2026-05-09T05:35:09
TXN-2026-00201,ACC-4273,4631.17,EUR,2026-06-29T16:09:23
TXN-2026-00202,ACC-5590,1890.02,EUR,2026-05-29T19:47:20
TXN-2026-00203,ACC-2237,2182.39,ARS,2026-03-09T15:31:37
TXN-2026-00204,ACC-2782,6560.28,ARS,2026-02-16T23:34:15
TXN-2026-00205,ACC-2690,6753.63,ARS,2026-03-21T10:10:08
TXN-2026-00206,ACC-3731,4116.97,USD,2026-01-03T05:25:04
TXN-2026-00207,ACC-4282,6540.83,ARS,2026-02-10T06:49:49
TXN-2026-00208,ACC-8277,7634.57,ARS,2026-05-02T11:40:38
TXN-2026-00209,ACC-3620,3390.65,EUR,2026-02-18T15:31:55
TXN-2026-00210,ACC-3103,3360.68,ARS,2026-02-14T21:39:07
TXN-2026-00211,ACC-4625,6158.52,EUR,2026-05-20T23:33:20
TXN-2026-00212,ACC-7396,3441.55,USD,2026-03-16T06:53:05
TXN-2026-00213,ACC-7756,4319.70,USD,2026-01-31T17:39:22
TXN-2026-00214,ACC-9046,7157.08,EUR,2026-05-19T22:33:13
TXN-2026-00215,ACC-7834,6560.83,ARS,2026-03-21T00:35:29
TXN-2026-00216,ACC-6892,9119.96,ARS,2026-04-27T18:07:36
TXN-2026-00217,ACC-9803,2979.00,ARS,2026-06-13T16:17:50
TXN-2026-00218,ACC-3160,1048.64,EUR,2026-04-15T23:00:29
TXN-2026-00219,ACC-7520,195.25,EUR,2026-04-21T11:29:44
TXN-2026-00220,ACC-5651,3257.73,USD,2026-01-04T22:31:01
TXN-2026-00221,ACC-9683,6286.42,EUR,2026-01-13T12:34:08
TXN-2026-00222,ACC-4477,2789.19,USD,2026-06-13T14:54:46
TXN-2026-00223,ACC-4148,4112.41,ARS,2026-04-24T17:14:08
TXN-2026-00224,ACC-5931,4259.89,ARS,2026-01-05T04:39:16
TXN-2026-00225,ACC-5483,7773.65,ARS,2026-05-10T06:55:25
TXN-2026-00226,ACC-7210,1663.67,ARS,2026-06-28T09:21:32
TXN-2026-00227,ACC-2081,4639.13,EUR,2026-06-02T08:06:10
TXN-2026-00228,ACC-3683,6142.76,USD,2026-03-10T09:10:46
TXN-2026-00229,ACC-1287,5304.56,EUR,2026-03-26T11:45:34
TXN-2026-00230,ACC-2944,8648.54,USD,2026-01-21T20:50:02
TXN-2026-00231,ACC-8675,6008.93,USD,2026-03-13T18:42:31
TXN-2026-00232,ACC-2330,6111.12,ARS,2026-05-05T00:39:38
TXN-2026-00233,ACC-6702,7920.31,ARS,2026-06-18T15:51:24
TXN-2026-00234,ACC-9663,6224.31,EUR,2026-05-10T07:57:03
TXN-2026-00235,ACC-7320,5071.50,EUR,2026-03-06T11:00:03
TXN-2026-00236,ACC-7181,307.07,USD,2026-02-09T04:01:34
TXN-2026-00237,ACC-2111,9624.03,USD,2026-04-18T15:40:07
TXN-2026-00238,ACC-3376,3052.64,EUR,2026-04-19T04:18:03
TXN-2026-00239,ACC-3558,7476.84,ARS,2026-01-23T01:54:57
TXN-2026-00240,ACC-8863,6075.07,EUR,2026-03-18T22:51:09
TXN-2026-00241,ACC-5544,1065.31,EUR,2026-06-02T12:31:22
TXN-2026-00242,ACC-3825,2193.98,USD,2026-06-27T10:27:11
TXN-2026-00243,ACC-3681,6126.71,ARS,2026-02-16T01:46:32
TXN-2026-00245,ACC-5355,1435.53,USD,2026-05-11T05:46:03
TXN-2026-00246,ACC-6022,6765.64,USD,2026-02-07T20:24:42
TXN-2026-00247,ACC-2425,5072.57,EUR,2026-06-28T02:41:55
TXN-2026-00248,ACC-9403,7820.69,EUR,2026-05-29T18:06:47
TXN-2026-00249,ACC-4302,7123.28,USD,2026-03-23T19:16:12
TXN-2026-00250,ACC-6005,107.75,ARS,2026-02-11T19:38:14
TXN-2026-00251,ACC-9055,1177.10,ARS,2026-03-11T08:08:35
TXN-2026-00252,ACC-1792,9000.63,USD,2026-05-05T03:46:27
TXN-2026-00253,ACC-7026,7010.75,ARS,2026-03-29T01:01:21
TXN-2026-00254,ACC-5671,6195.25,ARS,2026-01-25T09:45:07
TXN-2026-00255,ACC-5850,2424.94,EUR,2026-02-03T23:03:02
TXN-2026-00256,ACC-8583,8415.99,USD,2026-03-28T15:05:53
TXN-2026-00257,ACC-2295,5200.36,EUR,2026-05-24T06:04:04
TXN-2026-00258,ACC-2918,6859.51,EUR,2026-04-13T22:05:35
TXN-2026-00259,ACC-4628,1724.83,ARS,2026-04-26T19:23:14
TXN-2026-00260,ACC-4887,7671.79,EUR,2026-01-20T21:48:40
TXN-2026-00261,ACC-3620,3100.47,USD,2026-02-19T00:41:41
TXN-2026-00262,ACC-7695,9162.97,ARS,2026-04-20T09:09:42
TXN-2026-00263,ACC-2938,6670.72,USD,2026-04-08T11:43:50
TXN-2026-00264,ACC-8109,2069.48,EUR,2026-05-08T13:39:23
TXN-2026-00265,ACC-5128,1067.11,ARS,2026-04-07T15:25:45
TXN-2026-00266,ACC-6577,6603.03,USD,2026-03-12T06:14:01
TXN-2026-00267,ACC-9529,7646.00,EUR,2026-04-21T05:58:48
TXN-2026-00268,ACC-7352,6053.44,EUR,2026-03-27T07:12:01
TXN-2026-00269,ACC-8130,14.46,USD,2026-03-24T22:45:43
TXN-2026-00270,ACC-5104,6265.16,USD,2026-06-11T17:38:11
TXN-2026-00271,ACC-7903,3893.56,USD,2026-06-01T13:36:19
TXN-2026-00272,ACC-1388,3551.93,USD,2026-04-17T22:34:05
TXN-2026-00273,ACC-2585,1537.70,USD,2026-03-07T17:18:13
TXN-2026-00274,ACC-1769,6265.07,ARS,2026-03-25T04:24:16
TXN-2026-00275,ACC-6598,9809.72,USD,2026-05-09T14:55:01
TXN-2026-00276,ACC-7510,3104.90,USD,2026-01-05T12:21:49
TXN-2026-00277,ACC-6767,5115.44,ARS,2026-05-17T07:29:12
TXN-2026-00278,ACC-3570,644.74,EUR,2026-01-17T01:58:11
TXN-2026-00279,ACC-1285,4818.69,USD,2026-05-01T06:17:33
TXN-2026-00280,ACC-7187,8521.62,ARS,2026-04-01T10:03:04
TXN-2026-00281,ACC-3832,2131.28,ARS,2026-03-14T12:23:46
TXN-2026-00282,ACC-6065,6501.82,EUR,2026-01-14T08:03:55
TXN-2026-00283,ACC-3087,8989.63,ARS,2026-02-27T17:45:29
TXN-2026-00284,ACC-5300,7961.72,EUR,2026-05-28T15:35:13
TXN-2026-00285,ACC-6729,9038.34,ARS,2026-04-26T18:25:49
TXN-2026-00286,ACC-6557,9324.32,EUR,2026-03-23T11:26:18
TXN-2026-00287,ACC-8677,5577.67,EUR,2026-03-16T16:56:38
TXN-2026-00288,ACC-4466,6199.25,EUR,2026-05-25T13:32:26
TXN-2026-00289,ACC-1963,3119.97,EUR,2026-01-28T23:17:49
TXN-2026-00290,ACC-3182,9579.94,EUR,2026-02-11T08:03:23
TXN-2026-00291,ACC-8984,99.46,ARS,2026-01-12T01:20:57
TXN-2026-00293,ACC-9914,1170.60,EUR,2026-06-05T13:28:46
TXN-2026-00294,ACC-1644,8564.09,ARS,2026-04-21T10:25:57
TXN-2026-00295,ACC-5351,214.34,USD,2026-06-06T12:35:55
TXN-2026-00296,ACC-4451,7366.45,EUR,2026-06-13T15:48:19
TXN-2026-00297,ACC-3251,3513.73,EUR,2026-03-10T13:54:23
TXN-2026-00298,ACC-3138,2767.29,EUR,2026-01-24T07:36:16
TXN-2026-00299,ACC-2319,7223.64,USD,2026-04-03T20:15:52
TXN-2026-00300,ACC-8020,2620.42,ARS,2026-04-09T13:53:28
TXN-2026-00301,ACC-8163,2022.48,EUR,2026-05-18T06:34:43
TXN-2026-00302,ACC-3480,6880.91,ARS,2026-03-30T13:26:33
TXN-2026-00303,ACC-3481,9908.64,USD,2026-05-15T18:44:06
TXN-2026-00305,ACC-5338,2548.97,ARS,2026-05-20T23:59:24
TXN-2026-00306,ACC-4194,8288.93,ARS,2026-02-08T20:46:21
TXN-2026-00307,ACC-9153,7659.81,USD,2026-05-09T02:24:29
TXN-2026-00308,ACC-8617,4990.37,USD,2026-06-28T18:10:44
TXN-2026-00309,ACC-7572,9107.72,ARS,2026-06-20T16:04:14
TXN-2026-00310,ACC-9813,898.38,USD,2026-02-21T23:36:01
TXN-2026-00311,ACC-5772,5886.59,ARS,2026-04-07T12:44:46
TXN-2026-00312,ACC-8332,8832.78,USD,2026-02-20T06:09:50
TXN-2026-00313,ACC-6319,8183.25,USD,2026-05-22T15:17:10
TXN-2026-00314,ACC-2107,1075.72,ARS,2026-04-14T03:51:12
TXN-2026-00315,ACC-8807,4667.38,USD,2026-03-09T02:13:05
TXN-2026-00316,ACC-5661,966.08,ARS,2026-01-25T01:29:10
TXN-2026-00317,ACC-9136,6034.62,ARS,2026-03-24T20:22:38
TXN-2026-00318,ACC-1617,4870.73,ARS,2026-04-14T04:56:00
TXN-2026-00319,ACC-2353,2755.79,USD,2026-03-21T12:53:56
TXN-2026-00320,ACC-1723,8880.65,EUR,2026-02-25T00:30:56
TXN-2026-00321,ACC-1545,1781.27,EUR,2026-04-07T01:41:54
TXN-2026-00322,ACC-5098,2024.31,EUR,2026-01-22T06:33:31
TXN-2026-00323,ACC-4911,816.24,ARS,2026-06-05T14:00:49
TXN-2026-00324,ACC-1394,6660.37,EUR,2026-02-16T00:24:52
TXN-2026-00325,ACC-9452,4224.25,EUR,2026-06-27T22:39:30
TXN-2026-00326,ACC-9677,8507.65,EUR,2026-02-05T12:30:09
TXN-2026-00327,ACC-4030,2443.49,EUR,2026-01-01T19:21:27
TXN-2026-00328,ACC-6180,1959.57,USD,2026-02-17T04:02:50
TXN-2026-00329,ACC-8479,4332.77,ARS,2026-03-11T11:41:11
TXN-2026-00330,ACC-6907,1644.26,EUR,2026-01-20T20:13:13
TXN-2026-00331,ACC-2977,7752.58,USD,2026-06-12T18:05:33
TXN-2026-00332,ACC-6810,2986.70,EUR,2026-01-05T15:01:01
TXN-2026-00333,ACC-4755,5820.96,USD,2026-04-02T23:07:57
TXN-2026-00334,ACC-8744,9287.33,ARS,2026-01-22T23:11:40
TXN-2026-00335,ACC-6083,872.07,EUR,2026-05-17T18:15:55
TXN-2026-00336,ACC-3377,6449.16,ARS,2026-06-25T11:45:56
TXN-2026-00337,ACC-6553,1880.62,EUR,2026-04-06T21:22:29
TXN-2026-00338,ACC-6079,3177.18,ARS,2026-02-09T12:51:48
TXN-2026-00339,ACC-1402,7896.21,ARS,2026-01-25T22:27:27
TXN-2026-00340,ACC-1488,383.52,USD,2026-05-06T11:32:04
TXN-2026-00341,ACC-7904,5967.85,EUR,2026-04-27T07:26:38
TXN-2026-00342,ACC-7822,5728.80,ARS,2026-02-14T09:19:22
TXN-2026-00343,ACC-9397,1003.25,ARS,2026-05-23T06:38:41
TXN-2026-00344,ACC-5222,659.06,ARS,2026-02-04T21:26:35
TXN-2026-00345,ACC-9054,908.58,ARS,2026-05-01T09:22:17
TXN-2026-00346,ACC-1273,2959.95,USD,2026-02-16T11:17:25
TXN-2026-00347,ACC-6708,1048.80,ARS,2026-05-06T04:12:12
TXN-2026-00348,ACC-7090,5117.19,ARS,2026-01-02T21:43:11
TXN-2026-00349,ACC-6913,1730.15,USD,2026-03-12T16:02:55
TXN-2026-00350,ACC-5091,3793.81,EUR,2026-05-21T03:36:23
TXN-2026-00351,ACC-7211,84.06,ARS,2026-04-26T01:16:01
TXN-2026-00352,ACC-3469,1992.48,USD,2026-06-03T20:22:21
TXN-2026-00353,ACC-3762,9060.13,USD,2026-04-27T08:50:16
TXN-2026-00354,ACC-7839,773.78,EUR,2026-01-12T13:42:17
TXN-2026-00355,ACC-6698,1906.37,EUR,2026-03-27T02:34:57
TXN-2026-00356,ACC-2929,9041.71,USD,2026-04-03T20:36:53
TXN-2026-00357,ACC-4749,4334.16,EUR,2026-01-13T05:16:49
TXN-2026-00358,ACC-7917,2880.06,ARS,2026-01-24T18:07:11
TXN-2026-00359,ACC-9404,5387.56,USD,2026-03-02T19:43:10
TXN-2026-00360,ACC-9388,9862.98,EUR,2026-01-16T04:24:25
TXN-2026-00361,ACC-2480,616.19,ARS,2026-04-09T09:35:13
TXN-2026-00362,ACC-1040,8703.79,ARS,2026-06-09T07:19:43
TXN-2026-00363,ACC-6994,9527.31,USD,2026-01-12T14:29:27
TXN-2026-00364,ACC-1143,4138.93,USD,2026-05-17T03:07:09
TXN-2026-00365,ACC-4471,1447.16,EUR,2026-02-14T22:50:09
TXN-2026-00366,ACC-8853,5269.14,EUR,2026-06-21T13:03:31
TXN-2026-00367,ACC-9227,9861.70,USD,2026-04-27T04:35:02
TXN-2026-00368,ACC-6703,8927.25,USD,2026-06-05T14:42:26
TXN-2026-00370,ACC-1108,1318.82,ARS,2026-04-18T15:20:54
TXN-2026-00371,ACC-4359,3429.04,EUR,2026-01-14T01:13:46
TXN-2026-00372,ACC-9621,9783.33,USD,2026-06-14T03:25:40
